phyloseq_name,Extraction_ID,FWD_barcode,REV_barcode,nucleic_acid,amplification,DO_ID,date_collected,Tree,sample_depth_cm,core_top_depth_cm,core_bottom_depth_cm,Sample_Notes,Sample_Date_yr.mo.dy,Avenza_Name,Site_Notes,Sampler_LB,Sampler_GB,Sampler_RM,Sampler_DG,Tree_Burn_Status,Tree_Health,latitude,longitude,Trees_within_10m,Trees_within_10m_count,Closest_Tree_Identity,Closest_Tree_Health,Closest_Tree_Distance_m,Closest_Tree_Location_degrees,Second_Closest_Tree_Identity,Second_Closest_Tree_Health,Second_Closest_Tree_Distance_m,Second_Closest_Tree_Location_degrees,Sampler_EW,Sampler_BL,Sampler_DL,PerCMoisture,FM_AD_correction,FM_OD_correction,AD_OD_correction,bulk_density_g_cm3,bulk_density_notes,Hue,Value_dry,Value_wet,Chroma_dry,Chroma_wet,clay_percent,silt_percent,sand_percent,TextureClass,pH_FM_CaCl2,Total_Exchange_Capacity_meq_per_100_g,pH_AD_H20,organic_matter_percent,S_ppm,P_mg_per_kg,Ca_mg_per_kg,Mg_mg_per_kg,K_mg_per_kg,Na_mg_per_kg,Ca_percent,Mg_percent,K_percent,Na_percent,other_bases_percent,H_percent,B_mg_per_kg,Fe_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Zn_mg_per_kg,Al_mg_per_kg,NO3-N_ppm,NH4-N_ppm,Bray_I_P_ppm,carbon_percent,nitrogen_percent,C_per_N_Ratio,PLFA_Total_Living_Microbial_Biomass_ng_g,PLFA_Total_Bacteria_ng_g,PLFA_Total_Bacteria_Percent_of_Total_Biomass,PLFA_Gram_Plus_Bacteria_ng_g,PLFA_Gram_Plus_Bacteria_Percent_of_Total_Biomass,PLFA_Actinobacteria_ng_g,PLFA_Actinobacteria_Percent_of_Total_Biomass,PLFA_Gram_Negative_Bacteria_ng_g,PLFA_Gram_Negative_Bacteria_Percent_of_Total_Biomass,PLFA_Total_Fungi_ng_g,PLFA_Arbuscular_Mycorrhizal_Fungi_ng_g,PLFA_Saprotrophic_Fungi_Percent_of_Total_Biomass,PLFA_Saprotrophic_Fungi_ng_g,PLFA_Protozoa_Percent_of_Total_Biomass,PLFA_Protozoa_ng_g,PLFA_Undifferentiated_Percent_of_Total_Biomass,PLFA_Undifferentiated_ng_g,PLFA_Fungi_Bacteria_Ratio_ng_g,PLFA_Predator_Prey_Ratio_ng_g,PLFA_Gram_Positive_Gram_Negative_Ratio_ng_g,PLFA_Saturated_Unsaturated_Ratio_ng_g,PLFA_Monounsaturated_Polyunsaturated_Ratio_ng_g,PLFA_Arbuscular_Mycorrhizal_Fungi_Percent_of_Total_Biomass
DO_PCR_R_bc001_PCR_F_bc001_R1.fastq.gz,D01-R,PCR_F_bc001,PCR_R_bc001,RNA,PCR_ITS,DO_T05_0-7.5,260523,T05,0-7.5,0,7.5,thick sod,230526,Tree 05,Sampling SW of tree,TRUE,FALSE,FALSE,FALSE,burned,dead,38.488087,-122.151009,no,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,4.039357845675822,0.9927327028372324,0.9611747137879542,0.9682109907741676,0.9773760379749796,thick sod,10YR,5,3,4,3,23.22,40.68,36.1,Lo,7.06,21.59,7.4,4.31,16,50,3559,244,319,19,82.42,9.42,3.79,0.38,4,0,0.64,102,192,2.81,4.98,426,0.9,3.2,25,2.28,0.23,9.91,2371.19,666.08,28.09,256.5,10.82,131.26,5.54,409.58,17.27,229.92,32.15,8.34,197.77,0.6,14.32,61.61,1460.87,0.35,0.02,0.63,1.7,4.53,1.3558592942784002
DO_PCR_R_bc001_PCR_F_bc002_R1.fastq.gz,D02-R,PCR_F_bc002,PCR_R_bc001,RNA,PCR_ITS,DO_T07_15-22.5,290523,T07,15-22.5,15,22.5,lots of mycorrhizas on roots. Are they alive?,230529,Tree 07 dead,NA,TRUE,FALSE,FALSE,FALSE,burned,dead,38.488857,-122.151742,yes,2,Pine,dead,2.43,45,Oak,dead,5.57,104,TRUE,TRUE,FALSE,9.31521739130434,0.9537635477776673,0.914785721388088,0.9591326105087574,1.1346604741949815,lots of mycorrhizas on roots. Are they alive?,10YR,6,4,3,4,32.9,38.8,28.3,ClLo,6.43,21.1,7.3,3.55,7,15,3102,402,515,13,73.51,15.88,6.26,0.27,4.1,0,0.65,71,47,3.7,1.21,556,0.6,3.1,6,1.44,0.13,11.08,2890.26,723.67,25.04,343.34,11.88,117.18,4.05,380.33,13.16,311.02,32.55,9.63,278.47,0,0,64.2,1855.57,0.43,0,0.9,2.34,3.76,1.1261962591600754
DO_PCR_R_bc001_PCR_F_bc003_R1.fastq.gz,D03-R,PCR_F_bc003,PCR_R_bc001,RNA,PCR_ITS,DO_T07_0-7.5,290523,T07,0-7.5,0,7.5,"Some roots, fire layer",230529,Tree 07 dead,NA,TRUE,FALSE,FALSE,FALSE,burned,dead,38.488857,-122.151742,yes,2,Pine,dead,2.43,45,Oak,dead,5.57,104,TRUE,TRUE,FALSE,5.981367774719464,0.9880131854959544,0.9435620817101188,0.9550096046911332,0.8658749605579729,"Some roots, fire layer",10YR,5,3,3,2,27.92,35.99,36.09,ClLo,6.94,25.84,7.4,7.36,17,64,4192,327,411,16,81.11,10.55,4.08,0.27,4,0,1.09,138,124,2.74,4,442,3.5,4,43,4.41,0.34,12.97,5620.31,1570.77,27.95,651.35,11.59,204.56,3.64,919.43,16.36,1177.81,159.05,18.13,1018.76,2.25,126.69,48.84,2745.04,0.75,0.08,0.71,1.09,1.67,2.8299150758588048
DO_PCR_R_bc001_PCR_F_bc004_R1.fastq.gz,D04-R,PCR_F_bc004,PCR_R_bc001,RNA,PCR_ITS,DO_T02_22.5-30,80523,T02,22.5-30,22.5,30,NA,230508,NA,Test Glade & Laura Monday May 8 2023,TRUE,TRUE,FALSE,FALSE,burned,dead,38.48673,-122.15038,yes,NA,Oak,dead,NA,NA,Oak,dead,NA,NA,FALSE,FALSE,FALSE,28.636421079236698,0.8122605363984674,0.7773848118675705,0.9570633768746976,1.1082458355246596,NA,10YR,6,4,4,4,27.64,38.48,33.88,ClLo,5.61,13.78,6.3,3.91,5,11,1642,355,159,12,59.58,21.47,2.96,0.38,5.1,10.5,0.27,82,34,2.64,1.61,462,0.8,2,3,1.74,0.11,15.82,2398.18,1014.46,42.3,356.65,14.87,168.26,7.02,657.81,27.43,216.74,45.29,7.15,171.46,1.36,32.64,47.3,1134.33,0.21,0.03,0.54,1.92,13.5,1.8885154575553127
DO_PCR_R_bc001_PCR_F_bc006_R1.fastq.gz,D06-R,PCR_F_bc006,PCR_R_bc001,RNA,PCR_ITS,DO_T02_0-7.5,80523,T02,0-7.5,0,7.5,cores taken 50 cm (40-50) from trunk on N side of dead tree,230508,NA,Test Glade & Laura Monday May 8 2023,TRUE,TRUE,FALSE,FALSE,burned,dead,38.48673,-122.15038,yes,NA,Oak,dead,NA,NA,Oak,dead,NA,NA,FALSE,FALSE,FALSE,29.50257289879932,0.8030565461029037,0.7721854304635761,0.961557980208069,1.07380080929943,cores taken 50 cm (40-50) from trunk on N side of dead tree,10YR,5,3,3,3,17.67,36.69,45.64,Lo,6.76,18.28,7,3.77,7,42,2410,549,285,28,65.92,25.03,4,0.67,4.4,0,0.67,216,157,3.2,3.3,760,6.8,2.4,21,1.33,0.09,14.78,5202.31,1481.23,28.47,541.06,10.4,183.73,3.53,940.17,18.07,963.6,158.07,15.48,805.53,2.34,121.86,50.66,2635.63,0.65,0.08,0.58,1.13,2.23,3.038457915810476
DO_PCR_R_bc001_PCR_F_bc007_R1.fastq.gz,D07-R,PCR_F_bc007,PCR_R_bc001,RNA,PCR_ITS,DO_T04_7.5-15,220523,T04,7.5-15,7.5,15,Lots of potential oak roots,230522,Tree 04,"center of core distance from trunk is 47cm. Live and burned, west side of tree",TRUE,FALSE,FALSE,FALSE,unburned,living,38.488092,-122.150914,yes,1,Manzanita,living,6.8,0,NA,NA,NA,0,TRUE,FALSE,FALSE,8.64344439636522,0.9520063725978292,0.92044209897441,0.9668444723355296,1.0767829935814086,Lots of potential oak roots,10YR,6,4,3,3,22.38,39.94,37.68,Lo,6.4,19.09,7.4,4.73,7,23,2813,394,353,17,73.68,17.2,4.74,0.39,4,0,0.62,88,76,2.98,2.94,469,0,1.8,9,2.34,0.19,12.32,3086.37,1163.04,37.68,428.66,13.89,213.99,6.93,734.38,23.79,307.92,68.92,7.74,239,1.57,48.32,50.77,1567.11,0.26,0.04,0.58,1.48,10.67,2.2330439966692266
DO_PCR_R_bc001_PCR_F_bc008_R1.fastq.gz,D08-R,PCR_F_bc008,PCR_R_bc001,RNA,PCR_ITS,DO_T06_22.5-30,280523,T06,22.5-30,22.5,30,"Scooped off loose material. One side flush, other side 1.5cm from flush",230528,Tree 06 alive,Sampling ESE side of tree,TRUE,FALSE,FALSE,FALSE,burned,living,38.488087,-122.151882,no,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,8.56526429341963,0.958962639109698,0.9211049284578696,0.9605222256760956,1.235952626045819,"Scooped off loose material. One side flush, other side 1.5cm from flush",10YR,6,4,4,3,35.59,40.76,23.65,ClLo,4.66,26.59,5.6,3.73,7,11,2443,592,201,22,45.94,18.55,1.94,0.36,6.2,27,0,108,43,3.45,1.36,751,0,3.2,3,1.24,0.12,10.33,3402.67,1124.26,33.04,629.99,18.51,320.67,9.42,494.27,14.53,330.25,54.19,8.11,276.06,1.02,34.76,56.23,1913.4,0.29,0.03,1.27,2.37,3.13,1.5925728912883117
DO_PCR_R_bc001_PCR_F_bc009_R1.fastq.gz,D09-R,PCR_F_bc009,PCR_R_bc001,RNA,PCR_ITS,DO_T02_30-37.5,80523,T02,30-37.5,30,37.5,NA,230508,NA,Test Glade & Laura Monday May 8 2023,TRUE,TRUE,FALSE,FALSE,burned,dead,38.48673,-122.15038,yes,NA,Oak,dead,NA,NA,Oak,dead,NA,NA,FALSE,FALSE,FALSE,21.61805305485537,0.8471180418476114,0.822246348203711,0.9706396364907376,1.336783325580458,NA,10YR,6,4,4,4,30.68,39.8,29.52,ClLo,5.2,19.36,5.9,3.26,6,10,2033,480,209,20,52.51,20.66,2.77,0.45,5.6,18,0.29,126,80,3.99,1.6,811,0.8,3.8,2,1.32,0.1,13.2,2386.02,683.05,28.63,277.49,11.63,142.06,5.95,405.56,17,161.89,27.03,5.65,134.86,0.47,11.29,64.11,1529.79,0.24,0.02,0.68,2.18,6.77,1.1328488445193252
DO_PCR_R_bc001_PCR_F_bc010_R1.fastq.gz,D10-R,PCR_F_bc010,PCR_R_bc001,RNA,PCR_ITS,DO_T06_0-7.5,280523,T06,0-7.5,0,7.5,NA,230528,Tree 06 alive,Sampling ESE side of tree,TRUE,FALSE,FALSE,FALSE,burned,living,38.488087,-122.151882,no,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,4.708566687409243,0.9899960380348654,0.9550316957210776,0.9646823411705852,0.9003921189642641,NA,10YR,4,3,3,2,22.29,38.96,38.75,Lo,6.95,19.17,7.4,4.27,10,66,3027,303,250,24,78.95,13.17,3.34,0.54,4,0,0.71,206,133,2.95,5.21,774,0,2.1,36,2.3,0.22,10.45,5158.41,1361.89,26.4,554.61,10.75,153.13,2.97,807.28,15.65,1187.7,101.67,21.05,1086.03,1.5,77.47,48.88,2521.29,0.87,0.06,0.69,1.04,0.66,1.970956166725793
DO_PCR_R_bc001_PCR_F_bc011_R1.fastq.gz,D11-R,PCR_F_bc011,PCR_R_bc001,RNA,PCR_ITS,DO_T03_22.5-30,200523,T03,22.5-30,22.5,30,yes roots,230520,Tree 03,"Saturday May 20 2023 LB,RM,DG",TRUE,FALSE,TRUE,TRUE,unburned,living,38.486593,-122.150304,yes,2,Blue_Oak,living,3.05,344,Blue_Oak,living,6.68,290,FALSE,FALSE,FALSE,13.643982567884672,0.9095378564405112,0.8799410029498526,0.9674594594594595,1.0834541003906046,yes roots,10YR,5,4,4,3,22.56,43.09,34.35,Lo,6.47,21.43,6.7,3.61,5,12,2858,503,349,18,66.68,19.56,4.18,0.37,4.7,4.5,0.43,86,77,4.84,2.7,582,0,0,3,1.74,0.14,12.43,2187.26,813.67,37.2,335.14,15.32,183.15,8.37,478.52,21.88,219.42,40.49,8.18,178.92,1.3,28.5,50.96,1114.67,0.27,0.04,0.7,2.44,4.13,1.8511745288625951
