extraction_date,date_collected,starting_depth_cm,Sample_id,RNA_ng_per_uL,DNA_ng_per_uL,soil_mass_g_extraction,twenty_uL_RNA_dilution_2_ng_per_uL,twenty_uL_DNA_dilution_2_ng_per_uL,batch_letter,DO_RNA_Box_ID,DO_DNA_Box_ID,RNA_PCR_water,DNA_PCR_water,cDNA_conc_ng_per_uL,uL_cDNA_input,cDNA_final_input_ng_per_uL,notes_RNA_DNA
8/22/23,260523,0,DO_T05_0-7.5,34.6,35,2.1,1.156069364,1.142857143,B,D01-R,D33-D,0,0,3.7,1,3.7,0
8/22/23,290523,15,DO_T07_15-22.5,9.12,18.9,2.1,4.385964912,2.116402116,C,D02-R,D34-D,0,0,0.494,3,1.482,0
8/30/23,290523,0,DO_T07_0-7.5,32.7,31.13,2,1.22324159,1.284934147,A,D03-R,D35-D,0,0,2.2,1,2.2,0
8/30/23,80523,22.5,DO_T02_22.5-30,26.3,41.429,2,1.520912548,0.9655072534,D,D04-R,D36-D,0,0,2.12,1,2.12,0
8/30/23,200523,37.5,DO_T03_37.5-45,2.32,44.4,1.9,17.24137931,0.9009009009,B,D05-R,D37-D,0,0,1.668,1,1.668,0
9/8/23,80523,0,DO_T02_0-7.5,38,36,1.9,1.052631579,1.111111111,D,D06-R,D38-D,0,0,1.672,1,1.672,0
9/12/23,220523,7.5,DO_T04_7.5-15,38.55,45.33,2,1.037613489,0.8824178248,C,D07-R,D39-D,0,0,1.512,1,1.512,0
9/12/23,280523,22.5,DO_T06_22.5-30,5.78,48.4,2,6.920415225,0.826446281,D,D08-R,D40-D,0,0,0.296,5,1.48,0
9/12/23,80523,30,DO_T02_30-37.5,15.2,8.14,2.2,2.631578947,4.914004914,A,D09-R,D41-D,0,0,1.034,1,1.034,0
9/19/2023,280523,0,DO_T06_0-7.5,32.2666,36.95,2.1,1.239671983,1.082543978,A,D10-R,D42-D,0,0,2.24,1,2.24,0
9/19/2023,200523,22.5,DO_T03_22.5-30,28.2,37.333,2.1,1.418439716,1.071438138,C,D11-R,D43-D,0,0,0.966,1,0.966,0
9/25/2023,260523,7.5,DO_T05_7.5-15,4.2,11.24,2.1,9.523809524,3.558718861,A,D12-R,D45-D,0,0,0.146,7,1.022,DNA
9/25/2023,220523,22.5,DO_T04_22.5-30,11.8,35,1.9,3.389830508,1.142857143,B,D13-R,D46-D,0,0,0.77,2,1.54,0
9/25/2023,280523,30,DO_T06_30-37.5,13.8,32.4,1.9,2.898550725,1.234567901,C,D14-R,D47-D,0,0,0.6,3,1.8,0
9/27/2023,290523,7.5,DO_T07_7.5-15,37.05,33.333,2.1,1.079622132,1.200012,A,D15-R,D48-D,0,0,0.586,3,1.758,0
9/27/2023,200523,15,DO_T03_15-22.5,34.5,38.5,2,1.15942029,1.038961039,D,D16-R,D49-D,0,0,0.594,3,1.782,0
9/27/2023,280523,15,DO_T06_15-22.5,35.8,41.3,1.9,1.117318436,0.9685230024,C,D17-R,D50-D,0,0,0.518,3,1.554,0
9/29/2023,80523,7.5,DO_T02_7.5-15,36.3,39,1.9,1.101928375,1.025641026,B,D18-R,D51-D,0,0,0.396,3,1.188,0
9/29/2023,200523,7.5,DO_T03_7.5-15,28.1,42,1.9,1.423487544,0.9523809524,C,D19-R,D52-D,0,0,0.726,2,1.452,0
9/29/2023,260523,15,DO_T05_15-22.5,7.58,45.6,2,5.277044855,0.8771929825,A,D20-R,D53-D,0,0,0.27,5,1.35,0
10/24/23,200523,0,DO_T03_0-7.5,40.8,41,1.99,0.9803921569,0.9756097561,A,D21-R,D54-D,0,0,0.79,2,1.58,0
10/24/23,220523,15,DO_T04_15-22.5,25.2,35.8667,2.03,1.587301587,1.115240599,C,D22-R,D55-D,0,0,0.356,3,1.068,0
10/24/23,200523,30,DO_T03_30-37.5,4.72,43.8,2.11,8.474576271,0.9132420091,D,D23-R,D56-D,0,0,0.0876,7,0.6132,0
10/25/23,220523,0,DO_T04_0-7.5,26.2,36.4,1.99,1.526717557,1.098901099,A,D24-R,D57-D,0,0,0.43,3,1.29,0
10/25/23,260523,22.5,DO_T05_22.5-30,19.1,34.4,2.11,2.094240838,1.162790698,C,D25-R,D58-D,0,0,0.368,3,1.104,0
10/31/23,280523,7.5,DO_T06_7.5-15,23.4,38.2,2.06,1.709401709,1.047120419,B,D26-R,D60-D,0,0,1.1,1,1.1,0
10/31/23,80523,15,DO_T02_15-22.5,36.2,34,2.09,1.104972376,1.176470588,A,D27-R,D61-D,0,0,0.608,3,1.824,0
10/31/23,80523,37.5,DO_T02_37.5-45,10.6,0.806,2.1,3.773584906,49.62779156,C,D28-R,0,0,0,0.36,3,1.08,"RNA good/not DNA , DNA Mixed with another sample"
10/31/23,280523,37.5,DO_T06_37.5-45,6.86,31.8,2.12,5.83090379,1.257861635,D,D29-R,D62-D,0,0,0.183,5,0.915,0
9/29/23,PCR WATER,0,DO_NA_NA,0,0,0,0,0,D,D30-R,D63-D,0,0,0,1,0,0
9/19/2023,220523,30,DO_T04_30-37.5,0.608,6.24,1.9,65.78947368,6.41025641,D,D31-R,D44-D,0,0,0.162,7,1.134,"Don't Dilute, just use. DNA last of batcj"
10/25/23,260523,30,DO_T05_30-37.5,0,30.7,2.09,0,1.302931596,D,0,D59-D,0,0,0.692,2,1.384,0
